股票代號,股票名稱,收盤價,K值,D值,KD狀態,RSI,DIF,MACD,柱狀圖,MACD狀態,BB上軌,BB中軌,BB下軌,BB位置,成交量張,5日均量張,量比,市值億,本益比,每股配息,殖利率,更新時間,交易日
1101,台泥,25.41,43.89,62.87,K<D,57.33,0.75,0.83,-0.08,DIF<MACD,27.3,25.41,23.52,61.27,33297,39364,1.29,1918.25,16.75,1.0,3.91,2026-02-03 23:23:37,
1102,亞泥,35.33,3.06,13.34,K<D,17.42,-0.61,-0.45,-0.16,DIF<MACD,38.02,36.12,34.23,13.41,6763,8303,0.64,1220.02,9.72,2.2,6.4,2026-02-03 23:23:39,
1103,嘉泥,14.09,36.9,51.8,K<D,46.45,0.05,0.06,-0.01,DIF<MACD,14.31,14.05,13.78,25.08,297,364,0.89,91.57,33.1,0.55,3.96,2026-02-03 23:23:40,
1104,環泥,29.72,21.84,25.95,黃金交叉,30.94,-0.18,-0.13,-0.05,DIF<MACD,30.68,30.03,29.37,22.59,311,555,0.97,202.91,12.68,1.7,5.75,2026-02-03 23:23:41,
1108,幸福,14.74,27.3,30.93,K<D,53.38,0.03,0.04,-0.01,DIF<MACD,15.23,15.05,14.87,43.73,111,167,0.18,60.91,6.46,0.75,4.98,2026-02-03 23:23:42,
1109,信大,15.03,39.83,54.77,K<D,43.59,-0.02,-0.02,-0.0,DIF<MACD,15.55,15.45,15.35,0.75,90,109,1.13,52.37,14.08,0.9,5.86,2026-02-03 23:23:44,
1110,東泥,15.72,21.45,24.42,黃金交叉,47.31,-0.09,-0.06,-0.03,DIF<MACD,16.67,16.33,15.99,25.94,114,172,1.11,92.04,40.38,0.3,1.86,2026-02-03 23:23:45,
1201,味全,14.67,46.27,54.25,K<D,45.54,-0.05,-0.05,0.01,DIF>MACD,14.64,14.46,14.28,20.43,186,263,0.3,72.62,25.62,0.5,3.48,2026-02-03 23:23:46,
1203,味王,39.84,34.87,42.69,K<D,51.11,-0.04,-0.02,-0.02,DIF<MACD,39.97,39.62,39.26,45.93,10,10,0.61,94.13,19.22,1.2,3.03,2026-02-03 23:23:47,
1210,大成,51.33,15.85,24.34,K<D,30.89,-0.15,0.01,-0.16,DIF<MACD,52.84,51.72,50.6,1.06,1520,1959,1.24,424.21,12.93,2.83,5.58,2026-02-03 23:23:48,
1213,大飲,9.56,49.42,57.72,K<D,50.16,-0.09,-0.08,-0.01,DIF<MACD,10.38,10.08,9.79,1.44,21,12,1.67,5.57,1.12,0.35,3.56,2026-02-03 23:23:49,
1215,卜蜂,152.69,20.2,35.44,K<D,46.79,2.54,3.04,-0.5,DIF<MACD,159.1,148.2,137.3,49.23,505,596,0.36,437.76,14.56,4.5,3.03,2026-02-03 23:23:50,
1216,統一,73.95,19.67,8.97,黃金交叉,26.08,-1.15,-0.92,-0.24,DIF<MACD,77.08,74.17,71.26,14.55,6171,9195,0.43,4119.46,20.89,3.0,4.14,2026-02-03 23:23:51,
1217,愛之味,10.27,20.89,29.74,K<D,41.05,0.01,0.04,-0.02,DIF<MACD,10.77,10.56,10.35,28.89,230,547,0.37,51.68,38.7,0.37,3.54,2026-02-03 23:23:53,
1218,泰山,17.8,20.93,37.75,K<D,38.49,0.02,0.06,-0.04,DIF<MACD,18.63,18.34,18.05,10.88,645,525,1.42,88.27,13.96,1.35,7.44,2026-02-03 23:23:54,
1219,福壽,13.24,57.88,56.77,K>D,40.4,-0.0,-0.01,0.01,DIF>MACD,13.66,13.49,13.31,44.67,126,238,0.76,46.07,32.14,0.5,3.7,2026-02-03 23:23:55,
1220,台榮,12.7,71.15,65.79,K<D,56.56,0.08,0.07,0.01,DIF>MACD,13.07,12.72,12.37,69.65,64,139,0.96,22.67,51.4,0.7,5.45,2026-02-03 23:23:56,
1225,福懋油,28.24,37.07,40.79,K<D,49.88,-0.23,-0.25,0.02,DIF>MACD,28.87,28.37,27.86,35.2,94,141,0.46,68.32,20.14,0.14,0.5,2026-02-03 23:23:58,
1227,佳格,28.58,20.9,27.2,K<D,23.53,-0.34,-0.31,-0.03,DIF<MACD,29.96,29.36,28.75,2.94,684,873,0.82,260.72,19.66,1.4,4.88,2026-02-03 23:23:59,
1229,聯華,44.63,15.77,27.37,K<D,21.28,-0.36,-0.25,-0.11,DIF<MACD,47.41,46.43,45.45,0.0,1476,1809,0.85,808.5,17.73,1.3,2.88,2026-02-03 23:24:00,
1231,聯華食,94.13,27.39,32.54,K<D,37.4,-0.79,-0.86,0.06,DIF>MACD,95.81,94.51,93.22,7.61,296,351,0.75,279.05,25.9,1.6,1.71,2026-02-03 23:24:01,
1232,大統益,142.35,29.64,30.85,K<D,40.84,0.17,0.22,-0.05,DIF<MACD,147.27,145.6,143.93,53.06,51,57,0.57,232.76,18.12,7.0,4.81,2026-02-03 23:24:03,
1233,天仁,31.65,15.46,22.24,K<D,30.48,0.03,0.07,-0.04,DIF<MACD,32.42,32.19,31.96,20.51,26,33,1.25,29.02,40.06,0.95,2.96,2026-02-03 23:24:04,
1234,黑松,36.65,38.36,28.91,K>D,32.37,-0.18,-0.17,-0.01,DIF<MACD,37.59,37.17,36.76,14.79,33,75,0.8,148.49,18.85,1.9,5.14,2026-02-03 23:24:05,
1235,興泰,40.54,58.48,52.09,K>D,33.24,-1.18,-1.25,0.06,DIF>MACD,46.99,43.14,39.29,18.92,13,9,1.48,18.48,,0.5,1.23,2026-02-03 23:24:06,
1236,宏亞,26.8,80.54,76.46,K>D,74.21,0.23,0.06,0.17,DIF>MACD,26.54,25.3,24.06,100.0,197,193,1.12,22.84,,0.6,2.28,2026-02-03 23:24:07,
