股票代號,股票名稱,收盤價,K值,D值,KD狀態,RSI,DIF,MACD,柱狀圖,MACD狀態,BB上軌,BB中軌,BB下軌,BB位置,成交量張,5日均量張,量比,市值億,本益比,EPS,每股配息,殖利率,更新時間
1101,台泥,25.4,19.29,32.75,K<D,43.66,0.48,0.67,-0.19,DIF<MACD,26.75,25.74,24.73,33.1,20193,25387,0.8,1903.27,16.62,,1.0,3.94,2026-02-09 17:18:23
1102,亞泥,35.35,47.75,31.48,K>D,42.22,-0.49,-0.51,0.02,黃金交叉,37.41,35.76,34.1,37.7,5662,6476,0.87,1253.71,9.99,3.54,2.2,6.22,2026-02-09 17:18:25
1103,嘉泥,13.85,22.4,32.41,K<D,43.48,-0.01,0.03,-0.04,DIF<MACD,14.3,14.05,13.8,10.2,403,367,1.1,91.24,32.98,0.42,0.55,3.97,2026-02-09 17:18:26
1104,環泥,29.55,36.74,33.56,K>D,37.5,-0.19,-0.16,-0.02,DIF<MACD,30.69,29.98,29.27,19.6,334,322,1.04,202.91,12.68,2.33,1.7,5.75,2026-02-09 17:18:27
1108,幸福,15.1,54.07,46.96,K>D,40.0,0.03,0.03,-0.0,DIF<MACD,15.19,15.09,14.99,56.1,147,135,1.1,61.12,6.48,2.33,0.75,4.97,2026-02-09 17:18:29
1109,信大,15.4,43.83,46.33,K<D,44.44,-0.02,-0.02,-0.0,DIF<MACD,15.55,15.45,15.35,26.2,65,65,1.0,52.54,14.13,1.09,0.9,5.84,2026-02-09 17:18:30
1110,東泥,16.45,63.19,48.79,K>D,48.65,-0.05,-0.07,0.02,黃金交叉,16.65,16.31,15.97,70.6,233,151,1.54,93.75,41.12,0.4,0.3,1.82,2026-02-09 17:18:31
1201,味全,14.35,31.87,40.13,K<D,46.15,-0.04,-0.05,0.0,DIF>MACD,14.63,14.46,14.3,15.9,379,213,1.77,72.62,25.62,0.56,0.5,3.48,2026-02-09 17:18:32
1203,味王,39.85,55.97,46.05,黃金交叉,56.45,-0.01,-0.02,0.01,黃金交叉,40.01,39.63,39.25,79.5,22,15,1.49,94.73,19.34,2.06,1.2,3.01,2026-02-09 17:18:34
1210,大成,50.7,20.92,22.63,K<D,30.56,-0.22,-0.1,-0.12,DIF<MACD,52.91,51.64,50.37,12.9,1875,1652,1.13,424.21,12.93,3.92,2.83,5.58,2026-02-09 17:18:35
1213,大飲,10.05,54.13,53.69,黃金交叉,52.73,-0.07,-0.07,0.0,黃金交叉,10.37,10.08,9.79,44.2,10,11,0.89,5.69,1.14,8.8,0.35,3.48,2026-02-09 17:18:36
1215,卜蜂,151.5,51.19,38.62,黃金交叉,48.98,1.99,2.51,-0.52,DIF<MACD,154.65,150.38,146.1,63.1,995,592,1.68,446.61,14.85,10.2,4.5,2.97,2026-02-09 17:18:37
1216,統一,73.2,58.34,40.98,K>D,41.1,-0.79,-0.9,0.11,DIF>MACD,76.46,73.72,70.98,40.5,7860,7416,1.06,4159.24,21.1,3.47,3.0,4.1,2026-02-09 17:18:38
1217,愛之味,10.45,16.28,20.35,K<D,40.0,-0.01,0.02,-0.02,DIF<MACD,10.76,10.57,10.37,20.1,329,276,1.19,51.68,38.7,0.27,0.37,3.54,2026-02-09 17:18:39
1218,泰山,18.05,16.74,24.63,K<D,37.04,-0.03,0.02,-0.05,DIF<MACD,18.65,18.33,18.01,6.1,508,469,1.08,87.78,13.88,1.3,1.35,7.48,2026-02-09 17:18:41
1219,福壽,13.55,73.82,66.52,K>D,60.0,0.01,-0.0,0.01,DIF>MACD,13.65,13.52,13.38,62.7,132,188,0.7,46.24,32.26,0.42,0.5,3.69,2026-02-09 17:18:42
1220,台榮,12.85,50.67,56.98,K<D,45.0,0.06,0.07,-0.01,DIF<MACD,13.08,12.77,12.46,63.0,67,58,1.17,22.67,51.4,0.25,0.7,5.45,2026-02-09 17:18:44
1225,福懋油,28.4,42.22,44.32,K<D,53.33,-0.16,-0.2,0.04,DIF>MACD,28.88,28.43,27.98,47.0,278,168,1.65,68.8,20.29,1.4,0.14,0.49,2026-02-09 17:18:45
1227,佳格,28.9,29.02,26.53,K>D,39.47,-0.31,-0.32,0.0,黃金交叉,29.8,29.19,28.59,25.9,588,596,0.99,262.53,19.79,1.46,1.4,4.84,2026-02-09 17:18:46
1229,聯華,44.9,7.32,12.37,K<D,28.57,-0.5,-0.37,-0.14,DIF<MACD,47.64,46.17,44.7,6.8,1470,1468,1.0,803.14,17.61,2.55,1.3,2.9,2026-02-09 17:18:47
1231,聯華食,92.8,26.35,30.72,K<D,42.67,-0.75,-0.7,-0.05,DIF<MACD,95.87,94.3,92.73,2.3,182,276,0.66,276.97,25.71,3.61,1.6,1.72,2026-02-09 17:18:48
1232,大統益,147.0,40.22,37.02,K>D,54.17,0.43,0.31,0.12,DIF>MACD,147.68,146.1,144.52,78.6,71,68,1.05,235.16,18.28,8.04,7.0,4.76,2026-02-09 17:18:50
