股票代號,股票名稱,收盤價,K值,D值,KD狀態,RSI,DIF,MACD,柱狀圖,MACD狀態,BB上軌,BB中軌,BB下軌,BB位置,成交量張,5日均量張,量比,市值億,本益比,EPS,每股配息,殖利率,更新時間,交易日
1101,台泥,25.8,25.52,27.27,K<D,51.56,0.41,0.58,-0.17,DIF<MACD,26.67,25.81,24.95,49.4,23037,22381,1.03,1933.24,16.88,,1.0,3.88,2026-02-11 23:15:29,
1102,亞泥,35.65,65.48,48.22,K>D,51.76,-0.4,-0.48,0.08,DIF>MACD,36.88,35.59,34.29,52.4,10576,6687,1.58,1264.35,10.07,3.54,2.2,6.17,2026-02-11 23:15:30,
1103,嘉泥,14.05,35.55,32.04,黃金交叉,52.0,-0.01,0.01,-0.02,DIF<MACD,14.3,14.05,13.8,50.0,311,345,0.9,92.56,33.45,0.42,0.55,3.91,2026-02-11 23:15:31,
1104,環泥,29.5,36.73,34.96,K>D,40.82,-0.2,-0.18,-0.02,DIF<MACD,30.52,29.87,29.23,21.1,1064,486,2.19,202.57,12.66,2.33,1.7,5.76,2026-02-11 23:15:32,
1108,幸福,15.15,68.47,57.63,K>D,57.14,0.03,0.03,0.0,DIF>MACD,15.2,15.1,15.0,75.7,172,160,1.08,61.32,6.5,2.33,0.75,4.95,2026-02-11 23:15:34,
1109,信大,15.45,48.93,44.88,黃金交叉,50.0,-0.02,-0.02,0.0,黃金交叉,15.55,15.44,15.33,53.4,213,96,2.21,52.71,14.17,1.09,0.9,5.83,2026-02-11 23:15:35,
1110,東泥,16.4,74.61,62.4,K>D,52.94,-0.03,-0.06,0.03,DIF>MACD,16.64,16.31,15.98,63.6,169,180,0.94,93.46,41.0,0.4,0.3,1.83,2026-02-11 23:15:36,
1201,味全,14.45,41.15,40.51,K>D,53.57,-0.03,-0.04,0.01,DIF>MACD,14.63,14.47,14.31,43.6,206,278,0.74,73.13,25.8,0.56,0.5,3.46,2026-02-11 23:15:37,
1203,味王,40.1,68.79,55.22,K>D,55.84,0.02,-0.01,0.03,DIF>MACD,40.08,39.64,39.21,102.0,43,27,1.59,95.32,19.47,2.06,1.2,2.99,2026-02-11 23:15:38,
1210,大成,51.4,36.67,27.56,K>D,37.5,-0.19,-0.14,-0.05,DIF<MACD,52.89,51.58,50.27,43.1,1544,1621,0.95,430.07,13.11,3.92,2.83,5.51,2026-02-11 23:15:39,
1213,大飲,9.78,44.62,54.58,K<D,38.06,-0.08,-0.07,-0.01,DIF<MACD,10.39,10.09,9.79,-2.0,10,9,1.12,5.54,1.11,8.8,0.35,3.58,2026-02-11 23:15:40,
1215,卜蜂,148.5,48.15,44.5,K>D,43.18,1.65,2.24,-0.59,DIF<MACD,154.54,150.25,145.96,29.6,663,654,1.01,437.76,14.54,10.21,4.5,3.03,2026-02-11 23:15:42,
1216,統一,73.4,60.69,51.15,K>D,45.33,-0.67,-0.83,0.15,DIF>MACD,75.8,73.46,71.12,48.7,7583,8001,0.95,4170.6,21.15,3.47,3.0,4.09,2026-02-11 23:15:43,
1217,愛之味,10.55,40.57,29.43,K>D,47.06,-0.0,0.01,-0.01,DIF<MACD,10.75,10.57,10.39,44.6,902,419,2.15,52.17,39.07,0.27,0.37,3.51,2026-02-11 23:15:44,
1218,泰山,18.2,26.3,23.43,黃金交叉,42.31,-0.04,-0.01,-0.03,DIF<MACD,18.66,18.31,17.96,34.1,340,451,0.75,88.51,14.0,1.3,1.35,7.42,2026-02-11 23:15:45,
1219,福壽,13.55,81.7,75.14,K>D,62.5,0.01,0.0,0.01,DIF>MACD,13.65,13.52,13.38,62.7,423,206,2.06,46.24,32.26,0.42,0.5,3.69,2026-02-11 23:15:47,
1220,台榮,13.05,68.02,60.79,K>D,68.42,0.08,0.07,0.01,黃金交叉,13.1,12.82,12.53,91.2,416,136,3.06,23.02,52.2,0.25,0.7,5.36,2026-02-11 23:15:48,
1225,福懋油,28.85,61.19,51.4,K>D,53.62,-0.09,-0.18,0.09,DIF>MACD,28.96,28.48,27.99,88.5,103,160,0.64,69.89,20.61,1.4,0.14,0.49,2026-02-11 23:15:49,
1227,佳格,29.45,55.68,38.35,K>D,56.52,-0.24,-0.3,0.06,DIF>MACD,29.72,29.16,28.59,75.8,1233,664,1.86,267.53,20.17,1.46,1.4,4.75,2026-02-11 23:15:50,
1229,聯華,45.35,23.98,16.85,K>D,38.16,-0.48,-0.41,-0.07,DIF<MACD,47.47,46.01,44.55,27.3,1528,1536,0.99,811.19,17.78,2.55,1.3,2.87,2026-02-11 23:15:51,
1231,聯華食,93.5,31.93,30.0,黃金交叉,45.57,-0.7,-0.66,-0.04,DIF<MACD,95.86,94.15,92.45,30.8,328,331,0.99,279.05,25.9,3.61,1.6,1.71,2026-02-11 23:15:52,
1232,大統益,149.5,64.54,48.37,K>D,60.71,0.73,0.43,0.3,DIF>MACD,148.67,146.35,144.03,117.9,172,115,1.49,239.16,18.59,8.04,7.0,4.68,2026-02-11 23:15:54,
1233,天仁,32.3,76.49,59.27,K>D,50.0,0.04,0.04,-0.0,DIF<MACD,32.4,32.21,32.02,73.2,22,30,0.72,29.25,40.38,0.8,0.95,2.94,2026-02-11 23:15:55,
1234,黑松,37.15,73.78,60.21,K>D,51.61,-0.13,-0.16,0.03,DIF>MACD,37.4,37.07,36.73,62.4,170,103,1.65,149.3,18.95,1.96,1.9,5.11,2026-02-11 23:15:56,
1235,興泰,40.95,31.48,33.99,K<D,51.15,-1.12,-1.21,0.09,DIF>MACD,44.81,41.84,38.87,35.0,49,21,2.3,18.62,,,0.5,1.22,2026-02-11 23:15:57,
1236,宏亞,26.3,71.16,78.42,K<D,74.07,0.34,0.27,0.07,DIF>MACD,27.3,25.67,24.04,69.4,53,81,0.65,22.8,,,0.6,2.28,2026-02-11 23:15:58,
1256,鮮活果汁-KY,159.5,27.55,29.64,K<D,53.25,1.91,2.69,-0.78,DIF<MACD,166.62,159.25,151.88,51.7,71,123,0.58,57.06,16.63,9.59,4.66,2.92,2026-02-11 23:15:59,
1301,台塑,46.5,34.06,36.36,K<D,56.5,1.18,1.43,-0.25,DIF<MACD,51.36,45.84,40.32,56.0,22684,27126,0.84,2960.07,60.92,,0.5,1.08,2026-02-11 23:16:00,
1303,南亞,78.8,52.38,43.71,黃金交叉,51.11,2.74,3.3,-0.56,DIF<MACD,82.63,76.08,69.52,70.8,132369,107597,1.23,6249.49,38.19,,0.7,0.89,2026-02-11 23:16:01,
1304,台聚,11.7,34.17,31.38,黃金交叉,52.63,0.03,0.08,-0.05,DIF<MACD,12.57,11.7,10.84,49.9,3935,4251,0.93,125.46,,,0.2,1.71,2026-02-11 23:16:03,
1305,華夏,11.9,29.57,28.69,黃金交叉,50.0,0.06,0.13,-0.07,DIF<MACD,12.84,12.04,11.25,40.8,1983,1769,1.12,69.14,,,0.15,1.26,2026-02-11 23:16:04,
1307,三芳,33.0,41.82,32.36,黃金交叉,53.52,-0.22,-0.25,0.03,黃金交叉,33.33,31.89,30.45,88.4,5788,1819,3.18,131.28,11.19,2.95,2.7,8.18,2026-02-11 23:16:05,
1308,亞聚,13.4,31.09,30.93,黃金交叉,48.81,-0.03,0.02,-0.05,DIF<MACD,14.39,13.65,12.9,33.4,1022,1486,0.69,79.56,49.63,,0.25,1.87,2026-02-11 23:16:06,
1309,台達化,12.1,41.28,40.38,黃金交叉,53.06,0.11,0.15,-0.04,DIF<MACD,12.75,12.08,11.4,51.7,956,1162,0.82,48.11,,,0.2,1.65,2026-02-11 23:16:08,
1310,台苯,9.01,57.93,48.67,K>D,61.17,0.04,0.04,0.0,黃金交叉,9.21,8.95,8.69,61.9,1607,2150,0.75,47.56,34.65,,,,2026-02-11 23:16:09,
1312,國喬,13.1,40.75,33.63,K>D,44.32,0.13,0.24,-0.11,DIF<MACD,14.01,13.18,12.34,45.5,8003,5558,1.44,150.27,19.85,,,,2026-02-11 23:16:10,
1313,聯成,10.55,27.41,28.04,K<D,52.63,-0.0,0.04,-0.05,DIF<MACD,11.46,10.66,9.87,42.8,1893,2777,0.68,140.4,,,0.15,1.42,2026-02-11 23:16:11,
1314,中石化,7.92,27.79,25.34,黃金交叉,43.62,-0.04,-0.02,-0.02,DIF<MACD,8.41,8.08,7.75,26.2,12767,12357,1.03,299.76,4.55,,,,2026-02-11 23:16:12,
