股票代號,股票名稱,收盤價,K值,D值,RSI,DIF,MACD,BB上軌,BB下軌,成交量張,量比,市值億,本益比,每股配息,殖利率,更新時間
1101,台泥,26.55,,,,,,,,,,,,,,2026-02-25
1102,亞泥,35.8,,,,,,,,,,,,,,2026-02-25
1103,嘉泥,14.15,,,,,,,,,,,,,,2026-02-25
1104,環泥,30.15,,,,,,,,,,,,,,2026-02-25
1108,幸福,15.25,,,,,,,,,,,,,,2026-02-25
1109,信大,15.85,,,,,,,,,,,,,,2026-02-25
1110,東泥,16.45,,,,,,,,,,,,,,2026-02-25
1201,味全,14.55,,,,,,,,,,,,,,2026-02-25
1203,味王,41.0,,,,,,,,,,,,,,2026-02-25
1210,大成,51.1,,,,,,,,,,,,,,2026-02-25
1213,大飲,9.74,,,,,,,,,,,,,,2026-02-25
1215,卜蜂,151.0,,,,,,,,,,,,,,2026-02-25
1216,統一,74.7,,,,,,,,,,,,,,2026-02-25
1217,愛之味,10.55,,,,,,,,,,,,,,2026-02-25
1218,泰山,18.25,,,,,,,,,,,,,,2026-02-25
1219,福壽,13.6,,,,,,,,,,,,,,2026-02-25
1220,台榮,13.1,,,,,,,,,,,,,,2026-02-25
1225,福懋油,29.4,,,,,,,,,,,,,,2026-02-25
1227,佳格,30.2,,,,,,,,,,,,,,2026-02-25
1229,聯華,44.65,,,,,,,,,,,,,,2026-02-25
1231,聯華食,87.9,,,,,,,,,,,,,,2026-02-25
1232,大統益,151.5,,,,,,,,,,,,,,2026-02-25
1233,天仁,33.5,,,,,,,,,,,,,,2026-02-25
1234,黑松,37.25,,,,,,,,,,,,,,2026-02-25
1235,興泰,44.0,,,,,,,,,,,,,,2026-02-25
1236,宏亞,26.3,,,,,,,,,,,,,,2026-02-25
1256,鮮活果汁-KY,155.5,,,,,,,,,,,,,,2026-02-25
1301,台塑,53.4,,,,,,,,,,,,,,2026-02-25
1303,南亞,94.9,,,,,,,,,,,,,,2026-02-25
1304,台聚,12.75,,,,,,,,,,,,,,2026-02-25
1305,華夏,12.8,,,,,,,,,,,,,,2026-02-25
1307,三芳,36.15,,,,,,,,,,,,,,2026-02-25
1308,亞聚,14.35,,,,,,,,,,,,,,2026-02-25
1309,台達化,12.7,,,,,,,,,,,,,,2026-02-25
1310,台苯,9.33,,,,,,,,,,,,,,2026-02-25
1312,國喬,14.05,,,,,,,,,,,,,,2026-02-25
1313,聯成,11.3,,,,,,,,,,,,,,2026-02-25
1314,中石化,8.32,,,,,,,,,,,,,,2026-02-25
1315,達新,65.6,,,,,,,,,,,,,,2026-02-25
1316,上曜,13.85,,,,,,,,,,,,,,2026-02-25
1319,東陽,99.7,,,,,,,,,,,,,,2026-02-25
1321,大洋,33.65,,,,,,,,,,,,,,2026-02-25
1323,永裕,18.65,,,,,,,,,,,,,,2026-02-25
1324,地球,10.7,,,,,,,,,,,,,,2026-02-25
1325,恆大,29.25,,,,,,,,,,,,,,2026-02-25
1326,台化,49.2,,,,,,,,,,,,,,2026-02-25
1337,再生-KY,5.56,,,,,,,,,,,,,,2026-02-25
