股票代號,股票名稱,收盤價,K值,D值,RSI,DIF,MACD,柱狀圖,BB上軌,BB中軌,BB下軌,成交量張,5日均量張,量比,市值億,本益比,每股配息,殖利率,更新時間
1101,台泥,26.4,75.64,60.11,50.82,0.48,0.52,-0.04,26.76,25.98,25.21,34867,27866,1.25,1978.2,17.28,1.0,3.79,2026-02-28 15:30:12
1102,亞泥,35.85,75.6,68.28,55.56,-0.22,-0.37,0.14,36.2,35.41,34.62,12745,10753,1.19,1271.44,10.13,2.2,6.14,2026-02-28 15:30:13
1103,嘉泥,14.15,69.02,56.38,43.48,0.03,0.02,0.01,14.31,14.06,13.8,223,402,0.56,93.21,33.69,0.55,3.89,2026-02-28 15:30:14
1104,環泥,30.05,61.92,52.58,51.02,-0.06,-0.13,0.07,30.32,29.81,29.31,741,958,0.77,206.35,12.9,1.7,5.66,2026-02-28 15:30:16
1108,幸福,15.3,93.77,83.33,66.67,0.06,0.04,0.02,15.28,15.12,14.97,221,215,1.03,61.92,6.57,0.75,4.9,2026-02-28 15:30:17
1109,信大,15.85,80.82,69.26,70.59,0.07,0.02,0.05,15.8,15.5,15.19,132,196,0.67,54.07,14.54,0.9,5.68,2026-02-28 15:30:18
1110,東泥,16.7,84.04,76.89,63.41,0.05,-0.01,0.05,16.7,16.33,15.95,198,196,1.01,95.17,41.75,0.3,1.8,2026-02-28 15:30:19
1201,味全,14.6,62.68,57.29,50.0,0.01,-0.02,0.02,14.68,14.49,14.3,404,450,0.9,73.89,26.07,0.5,3.42,2026-02-28 15:30:20
1203,味王,41.25,71.11,66.55,60.98,0.31,0.13,0.18,41.16,39.92,38.69,40,44,0.92,98.05,20.02,1.2,2.91,2026-02-28 15:30:22
1210,大成,50.9,40.33,41.77,42.5,-0.14,-0.13,-0.01,52.52,51.38,50.23,1886,1772,1.06,425.88,12.98,2.83,5.56,2026-02-28 15:30:23
1213,大飲,9.9,28.26,34.98,43.67,-0.1,-0.08,-0.02,10.37,10.04,9.71,7,7,0.97,5.61,1.12,0.35,3.54,2026-02-28 15:30:24
1215,卜蜂,152.5,64.01,56.74,52.63,1.65,1.83,-0.18,153.65,150.05,146.45,1438,1005,1.43,449.55,14.95,7.0,4.59,2026-02-28 15:30:25
