股票代號,股票名稱,收盤價,K值,D值,RSI,DIF,MACD,柱狀圖,BB上軌,BB中軌,BB下軌,成交量張,5日均量張,量比,市值億,本益比,每股配息,殖利率,交易日,更新時間
1101,台泥,22.55,12.5,22.57,25.74,-0.57,-0.3,-0.27,27.08,24.81,22.54,28392,35746,0.79,1734.81,13.88,1.0,4.43,2026-03-24,2026-03-24 07:30:44
1102,亞泥,34.7,48.78,49.74,53.09,-0.3,-0.35,0.05,35.93,34.74,33.55,7545,9053,0.83,1230.66,11.61,2.2,6.34,2026-03-24,2026-03-24 07:30:45
1103,嘉泥,13.6,57.34,52.09,52.78,-0.11,-0.11,0.01,14.21,13.69,13.17,129,214,0.61,89.59,16.19,0.55,4.04,2026-03-24,2026-03-24 07:30:46
1104,環泥,29.55,50.92,54.64,60.27,-0.09,-0.11,0.02,30.49,29.44,28.4,383,655,0.58,202.91,12.68,1.7,5.75,2026-03-24,2026-03-24 07:30:46
1108,幸福,14.85,18.44,30.65,46.15,-0.06,-0.02,-0.03,15.39,15.07,14.74,74,331,0.22,60.1,6.37,0.75,5.05,2026-03-24,2026-03-24 07:30:47
1109,信大,15.25,32.4,40.59,43.48,-0.06,-0.04,-0.02,15.87,15.45,15.02,184,207,0.89,52.03,14.81,0.9,5.9,2026-03-24,2026-03-24 07:30:48
1110,東泥,14.9,23.71,35.54,36.36,-0.31,-0.2,-0.1,16.83,15.82,14.81,159,249,0.64,84.91,41.39,0.3,2.01,2026-03-24,2026-03-24 07:30:49
1201,味全,13.45,16.85,22.01,22.22,-0.23,-0.17,-0.07,14.8,14.09,13.37,462,617,0.75,68.07,33.62,0.5,3.72,2026-03-24,2026-03-24 07:30:49
1203,味王,38.5,35.78,39.16,31.58,-0.39,-0.3,-0.09,41.52,39.42,37.31,5,14,0.36,91.52,18.69,1.2,3.12,2026-03-24,2026-03-24 07:30:50
1210,大成,53.9,77.34,77.79,80.7,0.69,0.47,0.22,54.83,52.22,49.6,1585,2118,0.75,450.99,12.48,2.83,5.25,2026-03-24,2026-03-24 07:30:51
1213,大飲,9.98,91.09,83.29,61.65,-0.02,-0.06,0.04,10.13,9.81,9.49,19,18,1.03,5.65,,0.35,3.51,2026-03-24,2026-03-24 07:30:52
1215,卜蜂,147.0,13.82,18.5,32.08,-0.36,0.93,-1.29,161.66,153.57,145.49,886,716,1.24,433.34,14.16,7.0,4.76,2026-03-24,2026-03-24 07:30:52
1216,統一,70.1,24.94,23.64,39.13,-0.93,-0.91,-0.02,74.5,71.38,68.27,8750,11253,0.78,3983.09,20.38,3.0,4.28,2026-03-24,2026-03-24 07:30:53
1217,愛之味,10.15,25.45,26.97,47.37,-0.09,-0.08,-0.01,10.59,10.3,10.02,399,599,0.67,50.19,24.17,0.25,2.46,2026-03-24,2026-03-24 07:30:54
1218,泰山,19.2,82.69,82.32,78.72,0.25,0.19,0.07,19.64,18.59,17.54,769,812,0.95,93.37,14.77,1.35,7.03,2026-03-24,2026-03-24 07:30:55
1219,福壽,13.65,44.7,41.6,60.87,0.02,0.01,0.01,13.8,13.57,13.35,158,336,0.47,46.58,30.33,0.5,3.66,2026-03-24,2026-03-24 07:30:55
1220,台榮,12.4,11.22,10.08,29.17,-0.09,-0.02,-0.07,13.37,12.89,12.41,98,168,0.59,21.87,155.0,0.7,5.65,2026-03-24,2026-03-24 07:30:56
1225,福懋油,31.7,26.92,25.83,47.44,0.53,0.69,-0.15,34.07,31.63,29.2,214,234,0.92,76.8,19.57,0.14,0.44,2026-03-24,2026-03-24 07:30:57
1227,佳格,30.1,70.06,72.0,60.49,0.19,0.13,0.06,30.7,29.87,29.04,1090,1646,0.66,273.43,20.62,1.4,4.65,2026-03-24,2026-03-24 07:30:58
1229,聯華,44.1,44.16,39.82,52.87,-0.35,-0.44,0.09,45.36,44.25,43.14,1844,2208,0.83,788.83,17.16,1.3,2.95,2026-03-24,2026-03-24 07:30:58
1231,聯華食,90.2,71.14,74.13,67.94,-0.3,-1.03,0.72,93.61,87.34,81.07,153,273,0.56,269.21,23.67,1.6,1.77,2026-03-24,2026-03-24 07:30:59
1232,大統益,150.5,57.37,47.11,50.0,0.47,0.75,-0.27,152.74,150.75,148.76,79,71,1.11,240.76,18.26,7.0,4.65,2026-03-24,2026-03-24 07:31:00
1233,天仁,29.95,14.75,17.22,26.98,-0.64,-0.39,-0.25,34.32,31.75,29.19,10,14,0.73,27.12,39.93,0.95,3.17,2026-03-24,2026-03-24 07:31:01
1234,黑松,35.65,18.67,29.46,36.11,-0.34,-0.28,-0.06,37.58,36.46,35.33,93,124,0.75,143.27,17.82,1.65,4.63,2026-03-24,2026-03-24 07:31:01
1235,興泰,39.2,43.33,31.64,35.69,-1.37,-1.41,0.04,48.1,40.42,32.73,18,37,0.49,17.82,,0.5,1.28,2026-03-24,2026-03-24 07:31:02
1236,宏亞,26.8,37.56,38.32,26.09,0.19,0.34,-0.15,28.38,27.3,26.22,30,42,0.72,23.23,,0.6,2.24,2026-03-24,2026-03-24 07:31:03
1256,鮮活果汁-KY,148.0,5.54,12.23,40.37,-1.85,0.09,-1.93,171.76,159.1,146.44,23,36,0.64,52.94,13.26,4.66,3.15,2026-03-24,2026-03-24 07:31:04
1301,台塑,45.05,16.27,20.67,44.51,-0.08,0.34,-0.42,52.41,47.91,43.4,15404,40599,0.38,2867.77,33.85,0.5,1.11,2026-03-24,2026-03-24 07:31:04
