股票代號,股票名稱,收盤價,開盤價,最高價,最低價,K值,D值,RSI,DIF,MACD,柱狀圖,BB上軌,BB中軌,BB下軌,成交量張,5日均量張,量比,市值億,本益比,每股配息,殖利率,交易日,更新時間
0050,元大台灣50,106.05,106.5,107.0,105.9,48.99,47.4,60.87,0.62,0.5,0.12,109.35,103.66,97.97,67805,48530,1.4,,32.15,,,2026-08-27,2026-08-27 07:31:10
0051,元大中型100,145.8,145.6,146.9,145.25,51.03,45.63,64.29,1.15,0.79,0.37,150.7,140.54,130.38,35,25,1.39,,24.38,,,2026-08-27,2026-08-27 07:31:11
0052,富邦科技,61.9,62.3,62.5,61.9,49.64,46.53,60.28,0.28,0.18,0.1,63.86,60.43,57.0,13583,9491,1.43,,33.51,,,2026-08-27,2026-08-27 07:31:12
0053,元大電子,241.55,245.25,245.25,241.55,55.31,55.0,59.41,2.06,1.6,0.45,251.36,234.95,218.55,49,71,0.69,,35.5,,,2026-08-27,2026-08-27 07:31:13
0055,元大MSCI金融,44.53,44.53,45.0,44.53,71.78,61.89,58.7,0.45,0.48,-0.04,44.91,43.9,42.89,156,274,0.57,,17.9,,,2026-08-27,2026-08-27 07:31:14
0056,元大高股息,53.6,53.6,54.1,53.45,53.89,49.96,68.85,0.71,0.65,0.06,55.1,51.72,48.35,37287,20465,1.82,,20.96,,,2026-08-27,2026-08-27 07:31:15
0057,富邦摩台,318.95,318.65,319.25,317.65,55.72,50.37,61.07,2.12,1.66,0.46,326.8,309.82,292.85,9,16,0.6,,32.06,,,2026-08-27,2026-08-27 07:31:16
0061,元大寶滬深,24.48,24.38,24.48,24.26,29.91,30.79,44.91,-0.14,-0.09,-0.06,25.37,24.7,24.03,86,98,0.88,,20.04,,,2026-08-27,2026-08-27 07:31:17
1101,台泥,24.1,24.3,24.4,24.1,33.17,44.99,45.61,0.15,0.19,-0.04,24.97,24.3,23.64,27756,34410,0.81,1805.86,21.26,0.8,3.32,2026-08-27,2026-08-27 07:31:18
1102,亞泥,35.1,35.2,35.2,34.9,91.74,88.02,71.43,0.58,0.34,0.24,35.66,33.49,31.32,7470,9725,0.77,1244.84,9.29,2.3,6.55,2026-08-27,2026-08-27 07:31:19
1103,嘉泥,13.2,13.3,13.3,13.2,53.77,52.24,53.85,0.04,0.04,0.01,13.35,13.15,12.95,245,301,0.82,92.58,9.36,0.52,3.94,2026-08-27,2026-08-27 07:31:20
1104,環泥,26.6,26.8,26.8,26.6,68.8,63.5,50.0,-0.02,-0.04,0.02,26.96,26.63,26.3,550,639,0.86,,9.85,1.85,6.95,2026-08-27,2026-08-27 07:31:21
1108,幸福,11.75,11.75,11.85,11.7,33.45,34.54,31.58,-0.14,-0.16,0.02,12.15,11.87,11.58,139,155,0.9,47.56,17.54,1.0,8.51,2026-08-27,2026-08-27 07:31:22
1109,信大,13.6,13.65,13.7,13.6,52.13,45.18,55.0,-0.03,-0.04,0.01,13.77,13.59,13.41,112,80,1.41,46.4,19.71,0.9,6.62,2026-08-27,2026-08-27 07:31:23
1110,東泥,15.95,16.05,16.05,15.85,39.2,37.65,51.06,0.04,0.09,-0.04,16.44,16.04,15.64,168,156,1.08,90.99,25.73,0.3,1.88,2026-08-27,2026-08-27 07:31:24
1201,味全,12.2,12.3,12.4,12.2,36.02,53.87,56.25,0.01,0.01,-0.0,12.45,12.22,11.99,381,388,0.98,61.74,20.0,0.21,1.72,2026-08-27,2026-08-27 07:31:25
1203,味王,46.0,46.85,46.85,46.0,64.34,49.45,43.43,-0.19,-0.16,-0.03,49.44,46.0,42.55,7,14,0.51,109.34,21.9,1.0,2.17,2026-08-27,2026-08-27 07:31:26
1210,大成,52.4,52.8,52.8,52.3,53.37,51.23,47.54,-0.23,-0.22,-0.01,53.62,52.68,51.73,924,1047,0.88,438.43,12.91,3.0,5.73,2026-08-27,2026-08-27 07:31:27
1213,大飲,7.34,7.34,7.34,7.34,33.66,25.47,29.35,-0.1,-0.09,-0.01,7.81,7.41,7.0,1,15,0.06,4.16,,0.35,4.77,2026-08-27,2026-08-27 07:31:28
1215,卜蜂,108.5,109.5,110.0,108.5,50.58,63.28,51.85,-0.16,-0.5,0.34,112.66,107.83,102.99,528,734,0.72,319.85,12.54,7.0,6.45,2026-08-27,2026-08-27 07:31:29
1216,統一,77.1,77.9,77.9,76.5,74.05,78.93,59.72,0.86,0.75,0.11,79.26,75.85,72.45,7675,11658,0.66,4380.83,18.67,3.0,3.89,2026-08-27,2026-08-27 07:31:30
1217,愛之味,10.0,10.0,10.05,9.98,73.29,77.19,75.0,0.03,0.02,0.01,10.1,9.92,9.74,554,498,1.11,49.45,15.15,0.25,2.5,2026-08-27,2026-08-27 07:31:31
1218,泰山,14.6,14.6,14.7,14.5,41.5,35.37,35.48,-0.46,-0.48,0.02,16.2,15.1,14.0,2017,1635,1.23,71.0,11.97,1.32,9.04,2026-08-27,2026-08-27 07:31:32
1219,福壽,11.8,11.9,11.9,11.6,83.7,78.18,76.92,-0.03,-0.16,0.13,11.76,11.08,10.41,541,595,0.91,40.27,,0.5,4.24,2026-08-27,2026-08-27 07:31:33
1220,台榮,10.9,10.95,11.05,10.9,36.32,33.8,30.77,-0.11,-0.1,-0.0,11.3,11.04,10.78,74,76,0.98,19.23,155.71,0.2,1.83,2026-08-27,2026-08-27 07:31:34
1225,福懋油,25.85,26.2,26.2,25.8,57.38,51.63,67.37,-0.37,-0.65,0.28,25.93,24.7,23.47,93,110,0.85,62.63,123.1,0.14,0.54,2026-08-27,2026-08-27 07:31:35
1227,佳格,28.85,29.15,29.15,28.8,45.1,51.94,44.64,0.06,0.1,-0.04,29.36,28.95,28.53,483,536,0.9,262.08,17.92,1.34,4.64,2026-08-27,2026-08-27 07:31:36
1229,聯華,42.15,41.95,42.5,41.95,73.41,70.17,63.64,0.41,0.35,0.06,42.67,41.2,39.72,1679,1561,1.08,769.04,17.27,1.8,4.27,2026-08-27,2026-08-27 07:31:37
1231,聯華食,81.0,81.2,81.5,81.0,30.81,40.33,51.96,0.36,0.47,-0.12,83.06,81.08,79.09,163,201,0.81,265.92,18.08,1.5,1.85,2026-08-27,2026-08-27 07:31:38
1232,大統益,157.0,156.5,157.0,156.0,66.02,61.37,51.85,1.3,1.3,0.01,158.69,155.15,151.61,75,110,0.68,251.16,17.43,7.2,4.59,2026-08-27,2026-08-27 07:31:39
1233,天仁,28.45,28.5,28.5,28.45,60.91,50.56,43.86,-0.04,-0.08,0.04,29.22,28.29,27.35,13,20,0.63,25.76,30.92,0.2,0.7,2026-08-27,2026-08-27 07:31:40
